Room,Address,Signal Level
2,77,0.17999999999999994
2,79,0.17999999999999994
0,20,0.17999999999999994
0,21,0.20999999999999996
0,22,0.21999999999999997
0,23,0.20999999999999996
0,27,0.24
0,28,0.35
0,29,0.35
0,30,0.33999999999999997
0,20,0.17999999999999994
0,21,0.20999999999999996
0,22,0.21999999999999997
0,23,0.20999999999999996
0,27,0.26
0,28,0.22999999999999998
0,29,0.24
0,30,0.24
0,87,0.19999999999999996
0,88,0.17999999999999994
0,89,0.18999999999999995
0,90,0.18999999999999995
0,91,0.13
0,92,0.13
0,93,0.27
0,38,0.08999999999999997
0,20,0.17999999999999994
0,21,0.20999999999999996
0,22,0.21999999999999997
0,23,0.20999999999999996
0,27,0.28
0,28,0.22999999999999998
0,29,0.24
0,30,0.24
0,87,0.19999999999999996
0,88,0.17999999999999994
0,89,0.18999999999999995
0,90,0.18999999999999995
0,91,0.10999999999999999
0,92,0.28
0,93,0.29000000000000004
0,38,0.08999999999999997
0,0,0.19999999999999996
0,1,0.19999999999999996
0,2,0.18999999999999995
0,3,0.18999999999999995
0,31,0.35
0,32,0.30999999999999994
0,33,0.30999999999999994
0,24,0.15000000000000002
0,25,0.29999999999999993
0,26,0.30999999999999994
0,20,0.17999999999999994
0,21,0.17999999999999994
0,22,0.17999999999999994
0,23,0.17999999999999994
0,27,0.19999999999999996
0,28,0.27
0,29,0.27
0,30,0.28
0,87,0.19999999999999996
0,88,0.17999999999999994
0,89,0.18999999999999995
0,90,0.18999999999999995
0,91,0.06999999999999995
0,92,0.06999999999999995
0,93,0.06999999999999995
0,38,0.08999999999999997
0,0,0.19999999999999996
0,1,0.19999999999999996
0,2,0.18999999999999995
0,3,0.18999999999999995
0,31,0.39
0,32,0.30999999999999994
0,33,0.30999999999999994
0,24,0.36
0,25,0.31999999999999995
0,26,0.31999999999999995
0,20,0.17999999999999994
0,21,0.17999999999999994
0,22,0.17999999999999994
0,23,0.17999999999999994
0,27,0.20999999999999996
0,28,0.21999999999999997
0,29,0.21999999999999997
0,30,0.21999999999999997
0,87,0.19999999999999996
0,88,0.17999999999999994
0,89,0.18999999999999995
0,90,0.18999999999999995
0,91,0.06999999999999995
0,92,0.06999999999999995
0,93,0.06999999999999995
0,38,0.08999999999999997
0,0,0.16999999999999993
0,1,0.16999999999999993
0,2,0.16999999999999993
0,3,0.16999999999999993
0,31,0.26
0,32,0.31999999999999995
0,33,0.30999999999999994
0,24,0.15000000000000002
0,25,0.15000000000000002
0,26,0.15000000000000002
0,20,0.17999999999999994
0,21,0.17999999999999994
0,22,0.17999999999999994
0,23,0.17999999999999994
0,27,0.21999999999999997
0,28,0.19999999999999996
0,29,0.20999999999999996
0,30,0.18999999999999995
0,87,0.19999999999999996
0,88,0.17999999999999994
0,89,0.18999999999999995
0,90,0.18999999999999995
0,91,0.06999999999999995
0,92,0.06999999999999995
0,93,0.06999999999999995
0,38,0.08999999999999997
0,0,0.16999999999999993
0,1,0.16999999999999993
0,2,0.16999999999999993
0,3,0.16999999999999993
0,31,0.26
0,32,0.30999999999999994
0,33,0.30999999999999994
0,24,0.16999999999999993
0,25,0.30999999999999994
0,26,0.30999999999999994
0,20,0.17999999999999994
0,21,0.17999999999999994
0,22,0.17999999999999994
0,23,0.17999999999999994
0,27,0.26
0,28,0.24
0,29,0.22999999999999998
0,30,0.22999999999999998
0,87,0.19999999999999996
0,88,0.17999999999999994
0,89,0.18999999999999995
0,90,0.18999999999999995
0,91,0.06999999999999995
0,92,0.06999999999999995
0,93,0.06999999999999995
0,38,0.08999999999999997
